template_slug,title,template_family,template_kind,primary_target,jurisdiction_scope,stage,tone,requires_evidence,best_when,not_for,source_path
"mep_outreach_procedural_concern_email","MEP Outreach On A Policy File Or Procedural Concern","outreach_email","email","MEP office","EU","political_outreach","measured","medium","You want a citizen-facing procedural concern email to an MEP on a policy file.","Formal filings to regulators or ombudsmen.","docs/outreach-email-templates/mep-outreach-procedural-concern-email.md"
"committee_coordinator_procedural_concern_email","Committee Coordinator Pressure Email","outreach_email","email","Committee coordinator office","EU","political_outreach","measured","high","You want to pressure a committee coordinator on process; pace; or stakeholder balance.","Private controller complaints; first-contact support tickets.","docs/outreach-email-templates/committee-coordinator-procedural-concern-email.md"
"commission_consultation_process_email","Commission Consultation Process Challenge","outreach_email","email","Commission service; cabinet; or Secretariat-General contact","EU","process_challenge","formal","high","A consultation process itself is the problem and you need to challenge timing; opacity; or imbalance.","Ordinary company complaints or DPA filings.","docs/outreach-email-templates/commission-consultation-process-email.md"
"journalist_issue_pitch_email","Journalist Issue Pitch","outreach_email","email","Journalist or newsroom","Mixed","media_outreach","concise","high","The issue has public-interest value and you need a short media pitch.","Private legal complaints or controller rights requests.","docs/outreach-email-templates/journalist-issue-pitch-email.md"
"ngo_support_request_email","NGO Support Or Amplification Request","outreach_email","email","NGO or advocacy network","Mixed","coalition_outreach","measured","medium","You want review; support; or amplification from an NGO or network.","First rights requests to companies or formal court filings.","docs/outreach-email-templates/ngo-support-request-email.md"
"dpa_follow_up_after_silence_email","DPA Follow-Up After Silence","campaign_email","email","National DPA","National_or_cross_border","regulator_follow_up","formal","high","A correctly filed GDPR complaint has gone quiet and you need a focused procedural follow-up.","Initial controller contact; journalist outreach before a complaint exists.","campaigns/gdpr-complaints/emails/dpa-follow-up-after-silence-email.md"
"privacy_ngo_support_request_email","Privacy NGO Support Or Amplification Request","campaign_email","email","Privacy NGO or public-interest watchdog","Mixed","coalition_outreach","measured","high","A GDPR issue looks systemic and you want strategic privacy-group support.","Basic personal rights requests without a systemic angle.","campaigns/gdpr-complaints/emails/privacy-ngo-support-request-email.md"
"journalist_gdpr_enforcement_pitch_email","Journalist Pitch On GDPR Under-Enforcement","campaign_email","email","Journalist or newsroom","EU_or_national","media_outreach","concise","high","A GDPR problem has turned into a public-interest enforcement story.","Thinly evidenced personal disputes.","campaigns/gdpr-complaints/emails/journalist-gdpr-enforcement-pitch-email.md"
"mep_gdpr_under_enforcement_email","MEP Oversight Pressure On GDPR Under-Enforcement","campaign_email","email","MEP office","EU","political_outreach","measured","high","A GDPR case now shows systemic regulator delay or under-enforcement and needs oversight pressure.","Initial controller contact or ordinary consumer complaint.","campaigns/gdpr-complaints/emails/mep-gdpr-under-enforcement-email.md"
"cross_border_complainant_coordination_note","Cross-Border GDPR Complaint Coordination","campaign_email","note","Partner complainants or allied organisations","EU_cross_border","coordination","neutral","high","Several complainants or organisations need a shared coordination note before wider escalation.","First-contact complaints to a controller or public journalist pitch.","campaigns/gdpr-complaints/emails/cross-border-complainant-coordination-note.md"
