bundle_slug,bundle_label,organization,org_scope,contact_scope,public_contact,why_this_route,source_url,last_verified
surveillance_state_power,Surveillance And State Power,epicenter.works,austria,general,team@epicenter.works,"Strong route for telecom-policy, surveillance, and state-power questions in Austria and at EU level",https://epicenter.works/en/contact,2026-04-23
surveillance_state_power,Surveillance And State Power,Iuridicum Remedium (IuRe),czech_republic,general,iure@iure.org,"Useful for privacy and surveillance issues with a Czech legal-rights angle",https://www.iure.org/,2026-04-23
surveillance_state_power,Surveillance And State Power,La Quadrature du Net,france,general,contact@laquadrature.net,"Useful for surveillance, censorship, and digital-freedom questions in France",https://www.laquadrature.net/en/about/,2026-04-23
surveillance_state_power,Surveillance And State Power,Panoptykon Foundation,poland,general,fundacja@panoptykon.org,"Useful for surveillance and state-business data power framing in Poland and EU debates",https://en.panoptykon.org/contact-us,2026-04-23
womens_rights_gender_equality,Women's Rights And Gender Equality,European Women's Lobby (EWL),eu_level,general,ewl@womenlobby.org,"Strong Brussels-facing umbrella route for women’s rights and gender-equality advocacy",https://womenlobby.org/contact/,2026-04-23
womens_rights_gender_equality,Women's Rights And Gender Equality,Women Against Violence Europe (WAVE),eu_level,general,office@wave-network.org,"Useful for violence-against-women policy, service-network support, and European coordination",https://wave-network.org/contact/,2026-04-23
womens_rights_gender_equality,Women's Rights And Gender Equality,WAVE Find Help Database,europe,find_help,https://wave-network.org/find-help/,"Useful when the immediate need is survivor support or country-level specialist service signposting",https://wave-network.org/find-help/,2026-04-23
womens_rights_gender_equality,Women's Rights And Gender Equality,European Network of Migrant Women (ENOMW),eu_level,general,info@migrantwomennetwork.org,"Useful where women’s rights issues are intertwined with migration, asylum, racism, or refugee protection",https://www.migrantwomennetwork.org/,2026-04-23
womens_rights_gender_equality,Women's Rights And Gender Equality,Equality Now,europe,press,press@equalitynow.org,"Useful for legal-equality, sexual-violence, and harmful-practices advocacy with a Europe-facing contact route",https://equalitynow.org/contact,2026-04-23
womens_rights_gender_equality,Women's Rights And Gender Equality,European Institute for Gender Equality (EIGE),eu_agency,evidence_and_media,eige.sec@eige.europa.eu,"Useful when the need is data, indicators, or institutional background on gender equality rather than campaigning outreach",https://eige.europa.eu/sites/default/files/documents/EIGE-Factsheet.pdf,2026-04-23
